pp_bucket,won,win_rate
0-30,0.291005291005291,29.100529100529098
31-40,0.4069529652351738,40.695296523517385
41-50,0.4759284731774415,47.59284731774415
51-60,0.5368421052631579,53.68421052631579
60+,0.6703910614525139,67.0391061452514
