wicket_bucket,won,win_rate
0 wkts,0.6758893280632411,67.58893280632411
1 wkt,0.5662949194547707,56.62949194547707
2 wkts,0.4048,40.48
3+ wkts,0.2379746835443038,23.79746835443038
